TNVED,OPISANIE,DATA,OPISANIE_CLEAN
1603,1,1,1
5102,1,1,1
7107,1,1,1
6501,1,1,1
9702,1,1,1
5104,1,1,1
506,1,1,1
5507,1,1,1
4105,1,1,1
5501,1,1,1
7802,2,2,2
8801,2,2,2
5103,2,2,2
4103,2,2,2
4906,2,2,2
3704,2,2,2
7206,2,2,2
9704,2,2,2
5110,3,3,3
5004,3,3,3
8107,3,3,3
5805,3,3,3
4501,3,3,3
3103,3,3,3
5809,3,3,3
501,3,3,3
1508,3,3,3
5302,4,4,4
1213,4,4,4
8603,4,4,4
3706,4,4,4
208,4,4,4
4206,4,4,4
8601,4,4,4
1802,4,4,4
4101,5,5,5
2714,5,5,5
4106,5,5,5
9110,5,5,5
3601,5,5,5
8604,5,5,5
2802,6,6,6
8106,6,6,6
8110,6,6,6
410,6,6,6
4702,6,6,6
8444,6,6,6
5108,6,6,6
4701,6,6,6
7501,7,7,7
5506,7,7,7
5005,7,7,7
3705,7,7,7
4102,7,7,7
2502,7,7,7
2609,8,8,8
5405,8,8,8
5310,9,9,9
5311,9,9,9
7905,9,9,9
5006,10,10,10
5106,10,10,10
1903,10,10,10
2604,10,10,10
7401,10,10,10
6603,10,10,10
1007,10,10,10
7101,10,10,10
2852,10,10,10
1522,11,11,11
8904,11,11,11
9103,11,11,11
7112,11,11,11
2824,11,11,11
3826,11,11,11
2822,11,11,11
510,12,12,12
2613,12,12,12
9307,12,12,12
1505,13,13,13
4114,13,13,13
2528,13,13,13
5803,13,13,13
2621,13,13,13
7904,13,13,13
2616,13,13,13
5203,14,14,14
2611,14,14,14
3825,14,14,14
8602,15,15,15
7316,15,15,15
5303,15,15,15
4004,15,15,15
9112,16,16,16
508,17,17,17
6703,17,17,17
5505,17,17,17
2911,17,17,17
9007,17,17,17
3101,17,17,17
7503,17,17,17
8401,18,18,18
8449,18,18,18
7611,18,18,18
4115,18,18,18
2515,18,18,18
5908,19,19,19
5105,20,20,20
7405,20,20,20
4113,20,20,20
2617,20,20,20
7221,20,20,20
5306,21,21,21
905,21,21,21
7614,21,21,21
7313,21,21,21
8109,21,21,21
4112,22,22,22
6906,22,22,22
7804,22,22,22
507,23,23,23
3205,23,23,23
5403,23,23,23
8103,23,23,23
4405,24,24,24
8001,24,24,24
3817,24,24,24
5308,25,25,25
1401,25,25,25
7218,25,25,25
9703,25,25,25
7001,25,25,25
8905,25,25,25
104,25,25,25
4104,26,26,26
4003,27,27,27
2913,27,27,27
3805,28,28,28
9109,28,28,28
1521,28,28,28
408,28,28,28
7504,28,28,28
1502,28,28,28
1205,28,28,28
5406,29,29,29
2511,30,30,30
814,30,30,30
7011,30,30,30
9601,30,30,30
8906,31,31,31
2608,31,31,31
2830,32,32,32
8445,33,33,33
7502,33,33,33
1208,33,33,33
4904,34,34,34
2831,34,34,34
4413,36,36,36
5305,36,36,36
3605,37,37,37
3813,37,37,37
903,37,37,37
7903,38,38,38
9306,38,38,38
205,38,38,38
5107,38,38,38
5307,38,38,38
3807,39,39,39
2606,39,39,39
2610,40,40,40
105,40,40,40
8706,40,40,40
2607,40,40,40
5802,40,40,40
3201,40,40,40
3602,40,40,40
9201,40,40,40
2603,41,41,41
8605,41,41,41
7406,41,41,41
2614,41,41,41
8007,42,42,42
3603,42,42,42
2706,43,43,43
2510,43,43,43
5605,44,44,44
2801,44,44,44
7105,44,44,44
7003,44,44,44
2823,45,45,45
2514,46,46,46
2808,46,46,46
6901,47,47,47
204,47,47,47
2504,48,48,48
9304,48,48,48
8446,48,48,48
4822,49,49,49
9705,49,49,49
2525,51,51,51
8475,52,52,52
1004,52,52,52
4406,53,53,53
4704,53,53,53
7227,54,54,54
2716,54,54,54
1002,54,54,54
8410,54,54,54
7613,55,55,55
505,55,55,55
2812,56,56,56
3501,56,56,56
5202,56,56,56
2620,56,56,56
8435,57,57,57
7114,57,57,57
7203,57,57,57
2837,58,58,58
2509,59,59,59
5606,59,59,59
5504,60,60,60
5701,60,60,60
8530,60,60,60
9706,60,60,60
6003,61,61,61
3211,61,61,61
7507,62,62,62
5007,62,62,62
8404,62,62,62
103,63,63,63
7115,63,63,63
2615,64,64,64
5111,64,64,64
8406,64,64,64
7901,64,64,64
2602,65,65,65
2845,65,65,65
5204,65,65,65
5112,66,66,66
1005,67,67,67
4302,67,67,67
4301,68,68,68
2908,68,68,68
9701,68,68,68
2513,69,69,69
2708,69,69,69
2619,69,69,69
8453,69,69,69
1214,70,70,70
2805,71,71,71
4809,71,71,71
3703,72,72,72
6002,72,72,72
9303,72,72,72
9012,73,73,73
